accession_number,dataset_url,dataset_name,made_public,most_recent_snapshot,num_subjects,modalities,dx_status,ages,tasks,num_trials,study_design,domain_studied,longitudinal,processed_data,species,nondefaced_consent,affirmed_defaced,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author,size_gb
ds000119,https://openneuro.org/datasets/ds000119/versions/00001,Maturational Changes in Anterior Cingulate and Frontoparietal Recruitment Support the Development of Error Processing and Inhibitory Control (Antistate),2017-08-22,2018-07-17,73,"MRI - func, MRI - anat",,,"visual guided saccade (vgs, aka ProSaccade) and antisaccace (anti) task",,,,No,n/a,,n/a,n/a,,,"Luna, Beatriz",10.03
ds000120,https://openneuro.org/datasets/ds000120/versions/00001,Developmental changes in brain function underlying the influence of reward processing on inhibitory control (Slot Reward),2018-02-06,2018-07-17,26,"MRI - func, MRI - anat",,"0-10, 11-17, 18-25",antisaccade task with fixed order,,,,No,n/a,,n/a,n/a,,,"Luna, Beatriz",2.42
ds000121,https://openneuro.org/datasets/ds000121/versions/00001,Immaturities in Reward Processing and Its Influence on Inhibitory Control in Adolescence (Ring Reward),2018-02-06,2018-07-17,28,"MRI - func, MRI - anat",,,AntiSaccade (AS) Rewarded & Neutral with varying dot position,,,,No,n/a,,n/a,n/a,,,"Luna, B.",3.34
ds000122,https://openneuro.org/datasets/ds000122/versions/00001,ds000122,2016-11-08,2018-07-14,17,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",visual attention task,,,,No,n/a,,n/a,n/a,,,"Potenza, MN",1.61
ds000133,https://openneuro.org/datasets/ds000133/versions/00001,Modafinil alters intrinsic functional connectivity of the right posterior insula: a pharmacological resting state fMRI study,2017-08-22,2018-07-16,26,"MRI - func, MRI - anat",,,Resting State,,,,No,n/a,,n/a,n/a,,,"Sensi, Stefano L.",2.5
ds000138,https://openneuro.org/datasets/ds000138/versions/00002,ds000138_R2.0.0,2018-03-26,2018-07-16,16,MRI - func,,"18-25, 26-34, 35-50","post heat stimulation, pre heat stimulation",,,,No,n/a,,n/a,n/a,,,"J, Gierthmuhlen",1.07
ds000140,https://openneuro.org/datasets/ds000140/versions/00001,Distinct brain systems mediate the effects of nociceptive input and self-regulation on pain,2018-05-02,2018-07-18,33,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",heat pain with regulation and ratings,,,,No,n/a,,n/a,n/a,,,"Wager, Tor D.",13.98
ds000144,https://openneuro.org/datasets/ds000144/versions/00002,ds000144_R1.0.0,2018-03-26,2018-07-17,45,"MRI - func, MRI - anat",,,emotional faces,,,,No,n/a,,n/a,n/a,,,"Egger, Helen L.",2.34
ds000148,https://openneuro.org/datasets/ds000148/versions/1.0.0,ds000148,2016-11-08,2019-05-15,49,"MRI - func, MRI - anat",,18-25,figure 2-back with 1-back lures,,,,No,n/a,,n/a,n/a,,,"Falkiewicz, Marcel",13.46
ds000149,https://openneuro.org/datasets/ds000149/versions/1.0.0,Scene Perception,2020-08-07,2020-08-07,15,"MRI - func, MRI - anat",,"18-25, 26-34","picture manual response, picture n-back",,,,No,n/a,Human,n/a,n/a,,,"Tarr,  Michael J.",3.06
ds000157,https://openneuro.org/datasets/ds000157/versions/00001,Block design food and nonfood picture viewing task,2018-02-12,2018-07-16,30,"MRI - func, MRI - anat",,"18-25, 26-34",Passive viewing task with blocks of food and nonfood images,,,,No,n/a,,n/a,n/a,,,"Ridder, D. T. D. de",1.74
ds000158,https://openneuro.org/datasets/ds000158/versions/1.0.0,The human Voice Areas: spatial organisation and inter-individual variability in temporal and extra-temporal cortices,2017-08-23,2019-06-04,217,"MRI - anat, MRI - func",,,passive listening,,,,No,n/a,,n/a,n/a,,,"Fleming, D",14.06
ds000164,https://openneuro.org/datasets/ds000164/versions/00001,Stroop Task,2017-08-24,2018-07-17,28,"MRI - func, MRI - anat",,,Stroop Task,,,,No,n/a,,n/a,n/a,,,"Verstynen, Timothy D.",1.57
ds000168,https://openneuro.org/datasets/ds000168/versions/1.0.0,Offline Processing in Associative Learning,2018-02-06,2019-05-16,35,"MRI - func, MRI - anat",,18-25,OP,,,,No,n/a,,n/a,n/a,,,"Creswell, J. David",3.59
ds000170,https://openneuro.org/datasets/ds000170/versions/00001,Learning and memory: motor skill consolidation and intermanual transfer,2017-08-24,2018-07-17,15,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Trained Hand, Trained Sequence, Trained Hand, Untrained Sequence, Untrained Hand, Trained Sequence, Untrained Hand, Untrained Sequence",,,,No,n/a,,n/a,n/a,,,"Karni, Avi",1.55
ds000171,https://openneuro.org/datasets/ds000171/versions/00001,Neural Processing of Emotional Musical and Nonmusical Stimuli in Depression,2017-08-28,2018-07-17,39,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65","Non-Music, Music",,,,No,n/a,,n/a,n/a,,,"Savage, Cary R.",6.93
ds000172,https://openneuro.org/datasets/ds000172/versions/1.0.1,,2018-03-07,2019-05-16,13,"MRI - func, MRI - anat",,,Resting State,,,,No,n/a,,n/a,n/a,,,"JH, Chen",2.78
ds000174,https://openneuro.org/datasets/ds000174/versions/1.0.1,T1-weighted structural MRI study of cannabis users at baseline and 3 years follow up,2017-08-28,2019-05-16,42,MRI - anat,,,,,,,No,n/a,,n/a,n/a,,,"Haan, Lieuwe de",0.53
ds000200,https://openneuro.org/datasets/ds000200/versions/00001,Pre-adolescents Exposure to Manganese,2017-08-29,2018-07-17,14,"MRI - func, MRI - anat",,"11-17, 18-25",Olfactory,,,,No,n/a,,n/a,n/a,,,"Iannilli, Emilia",0.43
ds000201,https://openneuro.org/datasets/ds000201/versions/1.0.3,ds000201_R1.0.5,2018-03-14,2020-02-18,86,"MRI - func, MRI - anat, MRI - dwi",,,"Arrows, Faces, Hands, Resting State, Sleepiness, PVT, Working Memory Test",,,,No,Yes,,n/a,n/a,,,"Åkerstedt, Torbjörn",160.59
ds000202,https://openneuro.org/datasets/ds000202/versions/00001,The heterogeneity in retrieved relations between the personality trait 'Harm avoidance' and gray matter volumes due to variations in the VBM and ROI labeling processing settings,2017-09-04,2018-07-17,95,MRI - anat,,,,,,,No,n/a,,n/a,n/a,,,"Mey, Johan De",0.45
ds000203,https://openneuro.org/datasets/ds000203/versions/00001,Visual imagery and false memory for pictures,2017-09-04,2018-07-16,26,"MRI - func, MRI - anat",,,Visual imagery false memory,,,,No,n/a,,n/a,n/a,,,"Brébion, Gildas",1.98
ds000204,https://openneuro.org/datasets/ds000204/versions/00002,ds000204,2018-03-13,2018-07-20,1,MRI - anat,,,,,,,No,n/a,,n/a,n/a,,,"Gandy, Sam",0.01
ds000205,https://openneuro.org/datasets/ds000205/versions/00001,Affective Videos,2017-09-04,2018-07-17,11,"MRI - func, MRI - anat",,,"Functional localizer, Passive Viewing",,,,No,n/a,,n/a,n/a,,,"Wedell, Douglas H.",2.77
ds000206,https://openneuro.org/datasets/ds000206/versions/1.0.0,ds000206,2018-03-09,2020-07-22,6,"MRI - dwi, MRI - anat",,,,,,,No,n/a,,n/a,n/a,,,"Paulsen, Jane S.",12.65
ds000208,https://openneuro.org/datasets/ds000208/versions/1.0.1,ds000208_R1.0.0,2017-09-12,2022-05-24,76,"MRI - anat, MRI - func",,,rest,,,,No,n/a,,n/a,n/a,,,"MN, Baliki",4.59
ds000210,https://openneuro.org/datasets/ds000210/versions/00002,ds000210_R1.0.1,2018-03-27,2018-07-16,31,"MRI - func, MRI - anat",,"18-25, 26-34","cuedSGT, rest",,,,No,n/a,,n/a,n/a,,,"Spreng, R. Nathan",19.16
ds000212,https://openneuro.org/datasets/ds000212/versions/1.0.0,ds000212,2018-03-14,2019-03-04,39,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","dis, fb, tom, tomloc",,,,No,n/a,,n/a,n/a,,,"Koster-Hale, Jorie",8.26
ds000213,https://openneuro.org/datasets/ds000213/versions/00002,ds000213_R1.0.2,2018-03-14,2018-07-18,26,"MRI - anat, MRI - func",,,social comparison,,,,No,n/a,,n/a,n/a,,,"Chen, Hong",1.72
ds000214,https://openneuro.org/datasets/ds000214/versions/00001,EUPD Cyberball,2017-09-12,2018-07-17,36,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",Cyberball,,,,No,n/a,,n/a,n/a,,,"Romaniuk, Liana",2.01
ds000216,https://openneuro.org/datasets/ds000216/versions/00001,Multiband Multi-Echo Imaging of Simultaneous Oxygenation and Flow Timeseries for Resting State Connectivity,2019-09-30,2018-07-17,7,"MRI - func, MRI - anat",Healthy / Control,,rest,,Sequence development,Sequence development,No,n/a,Human,n/a,n/a,10.1371/journal.pone.0169253,,"Wang, Yang",1.97
ds000217,https://openneuro.org/datasets/ds000217/versions/1.0.0,ds000217_R1.0.1,2018-03-27,2020-09-24,41,"MRI - func, MRI - anat",,"18-25, 26-34","localizer, route learning, picture test",,,,No,n/a,,n/a,n/a,,,"Kuhl, Brice A",102.19
ds000218,https://openneuro.org/datasets/ds000218/versions/00002,ds000218,2018-03-08,2018-07-17,19,"MRI - func, MRI - anat",,"18-25, 26-34",ONS flavour task,,,,No,n/a,,n/a,n/a,,,"Horst, Gert J. ter",11.13
ds000219,https://openneuro.org/datasets/ds000219/versions/00001,Flavour Pleasantness (Regular Products),2018-03-05,2018-07-17,21,"MRI - func, MRI - anat",,"18-25, 26-34",RP flavour task,,,,No,n/a,,n/a,n/a,,,"Horst, Gert J. ter",14.92
ds000220,https://openneuro.org/datasets/ds000220/versions/1.0.0,Cost Analysis TBI,2017-09-18,2019-02-15,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",rest,,,,No,n/a,,n/a,n/a,,,"Hillary, F.G.",3.13
ds000221,https://openneuro.org/datasets/ds000221/versions/1.0.0,ds000221_R1.0.0,2018-03-23,2020-07-22,318,"MRI - func, MRI - anat, MRI - dwi",,,Rest,,,,No,n/a,,n/a,n/a,,,"Villringer, Arno",369.78
ds000222,https://openneuro.org/datasets/ds000222/versions/1.0.1,Sequential Inference VBM,2018-02-28,2019-12-03,79,MRI - anat,,"18-25, 26-34, 51-65, 66+",,,,,No,n/a,,n/a,n/a,,,"Dolan, Raymond J",0.8
ds000223,https://openneuro.org/datasets/ds000223/versions/00001,Magnitude Effect,2017-09-19,2018-07-17,19,"MRI - func, MRI - anat",,,mag,,,,No,n/a,,n/a,n/a,,,"McClure, Samuel M.",4.99
ds000224,https://openneuro.org/datasets/ds000224/versions/1.0.4,The Midnight Scan Club (MSC) dataset,2017-09-20,2023-02-07,10,"MRI - func, MRI - anat",,"18-25, 26-34","glasslexical, memoryfaces, memoryscenes, memorywords, motor, rest",,,,No,n/a,,n/a,n/a,,,"Dosenbach, Nico U.F.",25.19
ds000228,https://openneuro.org/datasets/ds000228/versions/1.1.1,MRI data of 3-12 year old children and adults during viewing of a short animated film,2017-09-21,2023-09-27,155,"MRI - anat, MRI - func",,,pixar,,,,No,Yes,,n/a,n/a,,,"Saxe, Rebecca",4.97
ds000229,https://openneuro.org/datasets/ds000229/versions/00001, Integration of sweet taste and metabolism determines carbohydrate reward - study 1,2021-01-05,2018-07-17,15,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",flavor,18,interleaved event-related,Flavor-nutrient conditioning,Yes,n/a,Human,No,No,https://doi.org/10.1016/j.cub.2017.07.018,,"Small, Dana",3.48
ds000231,https://openneuro.org/datasets/ds000231/versions/1.0.0,ds000231,2021-01-06,2021-01-05,9,"MRI - func, MRI - anat",,"18-25, 26-34",flavor,18,interleaved event-related,Flavor-nutrient conditioning,Yes,n/a,Human,No,No,https://doi.org/10.1016/j.cub.2017.07.018,,"Small, Dana",6.98
ds000232,https://openneuro.org/datasets/ds000232/versions/00001,Adjudicating between face-coding models with individual-face fMRI responses,2017-09-23,2018-07-16,10,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","localizer, main",,,,No,n/a,,n/a,n/a,,,"Kriegeskorte, Nikolaus",27.44
ds000233,https://openneuro.org/datasets/ds000233/versions/1.0.1,Neural responses to naturalistic clips of behaving animals in two different task contexts,2017-09-23,2019-12-14,12,"MRI - func, MRI - anat",,"18-25, 26-34","beh, tax",,,,No,n/a,,n/a,n/a,,,"Haxby, James V.",4.05
ds000234,https://openneuro.org/datasets/ds000234/versions/00002,ds000234,2018-03-13,2018-07-17,5,MRI - anat,,"26-34, 35-50, 51-65",,,,,No,n/a,,n/a,n/a,,,"Detre, John A.",0.04
ds000235,https://openneuro.org/datasets/ds000235/versions/2.0.1,ds000235,2018-03-13,2019-12-04,4,MRI - anat,,"18-25, 26-34, 51-65",,,,,No,n/a,,n/a,n/a,,,"Detre, John A.",0.04
ds000236,https://openneuro.org/datasets/ds000236/versions/2.0.1,ds000236,2018-03-13,2019-12-04,18,MRI - anat,,"51-65, 66+",,,,,No,n/a,,n/a,n/a,,,"Detre, John A.",0.35
ds000237,https://openneuro.org/datasets/ds000237/versions/1.0.0,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network,2017-09-24,2019-05-15,13,"MRI - func, MRI - anat",,,MemorySpan,,,,No,n/a,,n/a,n/a,,,"Omori, Koichi",9.09
ds000238,https://openneuro.org/datasets/ds000238/versions/00002,ds000238_R1.0.1,2018-03-28,2018-07-17,35,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Slow12, Med8, Slow10, Quick6, Quick4n",,,,No,n/a,,n/a,n/a,,,"Adke, A.",55.39
ds000239,https://openneuro.org/datasets/ds000239/versions/00001,Maclaren test-retest brain volume dataset,2017-09-25,2018-07-18,3,MRI - anat,,26-34,,,,,No,n/a,,n/a,n/a,,,"Bammer, Roland",0.84
ds000240,https://openneuro.org/datasets/ds000240/versions/2.0.0,ds000240_R1.0.0,2018-03-29,2021-08-17,63,"MRI - perf, MRI - anat",,,,,,,No,n/a,,No,Yes,,,"PhD, Maria A. Fernandez-Seara",1.07
ds000241,https://openneuro.org/datasets/ds000241/versions/00002,ds000241_R1.0.0,2018-03-29,2018-07-16,12,"MRI - func, MRI - anat",,,ak6,,,,No,n/a,,n/a,n/a,,,"Haxby, James V.",4.09
ds000243,https://openneuro.org/datasets/ds000243/versions/00001,Washington University 120,2017-09-24,2018-07-17,120,"MRI - func, MRI - anat",,,rest,,,,No,n/a,,n/a,n/a,,,"Power, Jonathan",5.68
ds000244,https://openneuro.org/datasets/ds000244/versions/1.0.0,ds000244_R1.0.1,2018-03-30,2018-09-14,12,"MRI - func, MRI - dwi, MRI - anat",,"26-34, 35-50","archi emotional, archi social, archi spatial, archi standard, self, RSVP language, clips watching, retinotopy, HCP emotion, HCP gambling, HCP langage, HCP motor, HCP relational, HCP social, HCP WM, Fictitious event ordering, film viewing, rest eyes open",,,,No,n/a,,n/a,n/a,,,"Thirion, Bertrand",789.45
ds000245,https://openneuro.org/datasets/ds000245/versions/00001,ds000245_R1.0.0,2018-03-29,2018-07-17,45,"MRI - anat, MRI - func",,,rest,,,,No,n/a,,n/a,n/a,,,"Sobue, Gen",2.02
ds000246,https://openneuro.org/datasets/ds000246/versions/1.0.1,MEG-BIDS Brainstorm data sample,2018-03-30,2024-04-23,1,"MRI - anat, MEG",,18-25,"AEF, noise",,,,No,n/a,,n/a,n/a,,,"Baillet, Sylvain",2.29
ds000247,https://openneuro.org/datasets/ds000247/versions/1.0.2,OMEGA_RestingState_sample,2018-03-30,2024-04-24,5,"MRI - anat, MEG",Healthy / Control,"18-25, 26-34, 35-50","rest, noise",,,,No,Yes,Human,No,Yes,https://doi.org/10.1016/j.neuroimage.2015.04.028,,"Baillet, Sylvain",10.27
ds000248,https://openneuro.org/datasets/ds000248/versions/1.2.4,ds000248,2018-03-30,2020-12-11,1,"MRI - anat, MEG",,,"audiovisual, noise",,,,No,n/a,,n/a,n/a,,,"Hämäläinen, Matti S",0.17
ds000249,https://openneuro.org/datasets/ds000249/versions/00002,ds000249_R1.0.0,2018-04-04,2018-07-17,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",genInstrAv,,,,No,n/a,,n/a,n/a,,,"Seymour, Ben",3.45
ds000253,https://openneuro.org/datasets/ds000253/versions/00002,ds000253_R1.0.0,2018-03-29,2018-07-17,20,"MRI - func, MRI - anat",,,"Localizer, Experimental Run 1, Experimental Run 3, Experimental Run 4, Experimental Run 2",,,,No,n/a,,n/a,n/a,,,"Sergio, Lauren",10.44
ds000254,https://openneuro.org/datasets/ds000254/versions/1.0.0,ds000254_R1.0.0,2018-03-29,2023-05-25,13,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",bilateralfingertapping,,,,No,n/a,,n/a,n/a,,,"Wang, Yang",1.64
ds000255,https://openneuro.org/datasets/ds000255/versions/00002,ds000255_R1.0.0,2018-03-29,2018-07-16,2,"MRI - func, MRI - anat",,,"viewFigure, viewRandom",,,,No,n/a,,n/a,n/a,,,"Kamitani, Yukiyasu",1.37
ds000256,https://openneuro.org/datasets/ds000256/versions/00002,ds000256_R1.0.0,2018-03-29,2018-07-16,24,"MRI - func, MRI - anat",,"0-10, 11-17","restbaseline, restfixationadaptive, restfixationfixed, restmovieadaptive, restmoviefixed, restfixationnofeedback, restmovienofeedback",,,,No,n/a,,n/a,n/a,,,"Dosenbach, Nico U.F.",3.6
ds000258,https://openneuro.org/datasets/ds000258/versions/1.0.1,ds000258_R1.0.0,2018-03-29,2023-08-01,89,"MRI - func, MRI - anat",,,"rest, Resting state",,,,No,n/a,,n/a,n/a,,,"Martin, Alex",11.32
ds001021,https://openneuro.org/datasets/ds001021/versions/1.0.0,NKI-sample,2017-08-01,2018-08-15,1,"MRI - func, MRI - dwi, MRI - anat",,51-65,"CHECKERBOARD_1400, BREATH_HOLD_1400, CHECKERBOARD_645, DMN_TRACKING_TEST, DMN_TRACKING_TRAIN, MORAL_DILEMMA, MASK, PEER1, MSIT, REST_645, PEER2, REST_CAP, REST_1400",,,,No,n/a,,n/a,n/a,,,"Castellanos, F. Xavier",0.96
ds001037,https://openneuro.org/datasets/ds001037/versions/00001,The brain of Chris,2017-08-26,2018-07-14,1,MRI - anat,,,,,,,No,n/a,,n/a,n/a,,,"Gorgolewski, Chris",0.01
ds001105,https://openneuro.org/datasets/ds001105/versions/00001,Social predictive coding,2017-09-28,2018-07-14,28,"MRI - func, MRI - anat",,,mentalstates,,,,No,n/a,,n/a,n/a,,,"Tamir, Diana I.",41.44
ds001107,https://openneuro.org/datasets/ds001107/versions/00001,ds001107,2017-10-03,2018-07-14,0,,,,,,,,No,n/a,,n/a,n/a,,,,10.6
ds001110,https://openneuro.org/datasets/ds001110/versions/00003,Sherlock_Merlin,2017-10-13,2018-07-14,37,"MRI - func, MRI - anat",,,"Merlin Audio, Merlin Movie, Merlin free recall, Sherlock free recall, Sherlock Audio, Sherlock Movie",,,,No,n/a,,n/a,n/a,,,"Zadbood, A., Chen, J., Leong, Y.C., Norman, K.A., & Hasson, U.",9.05
ds001131,https://openneuro.org/datasets/ds001131/versions/1.0.0,Milky-Vodka,2017-10-30,2019-11-09,54,"MRI - func, MRI - anat",,"18-25, 26-34","Scrambled, Milky, Synonyms, Vodka",,,,No,n/a,,n/a,n/a,,,"Hasson, U.",3.63
ds001132,https://openneuro.org/datasets/ds001132/versions/1.0.0,sherlock,2017-10-30,2019-04-04,16,"MRI - func, MRI - anat",,,"free recall, part 1 of Sherlock episode, part 2 of Sherlock episode",,,,No,n/a,,n/a,n/a,,,"Chen, J., Leong, Y.C., Honey, C.J., Yong C.H., Norman, K.A., & Hasson, U.",6.15
ds001145,https://openneuro.org/datasets/ds001145/versions/1.0.0,Twilight Zone Movie Watching Dataset,2017-11-08,2019-04-04,24,"MRI - func, MRI - anat",,,Watch movie,,,,No,n/a,,n/a,n/a,,,"Hasson, U.",8.18
ds001168,https://openneuro.org/datasets/ds001168/versions/1.0.1,7T resting state test-retest,2017-11-30,2019-01-07,22,"MRI - func, MRI - anat",,,Rest,,,,No,n/a,,n/a,n/a,,,"Margulies, Daniel S.",43.29
